,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,2.7898943788509496e-07,3726.8494774424203,12.0,640.0,19.31712772381575,80.91709414308635,19.999726670008407,78.22800642227341,0.0010369617464151698
1,2.794277292536579e-07,3987.5215622648648,12.0,640.0,20.0,80.99291966048283,20.0,78.22561220730708,0.001111429818201133
2,2.794323701802628e-07,3987.455735556378,12.0,640.0,20.0,80.99358806815829,20.0,78.22441328157892,0.0011114298834735991
3,2.7944756693793974e-07,3987.2388146088642,12.0,640.0,20.0,80.99579081135879,20.0,78.2221601981334,0.0011114297098735826
4,2.79450090232161e-07,3987.20354110265,12.0,640.0,20.0,80.99614901633076,20.0,78.21904816680501,0.001111429888432806
5,2.79459026539875e-07,3987.0759968143884,12.0,640.0,20.0,80.99744427731298,20.0,78.22399097264457,0.001111429786544852
6,2.794610354533047e-07,3987.0475507195824,12.0,640.0,20.0,80.99773316675093,20.0,78.22518878636527,0.0011114298265711238
7,2.7946530509569595e-07,3986.986271621006,12.0,640.0,20.0,80.99835550816502,20.0,78.22175532781992,0.0011114296817599587
8,2.794653629452007e-07,3986.9847080634163,12.0,640.0,20.0,80.99837138760594,20.0,78.22150706826504,0.0011114294748664556
9,2.794700414492779e-07,3986.9186617547393,12.0,640.0,20.0,80.99904216056044,20.0,78.22273497576379,0.0011114296232410039
10,2.794702609127006e-07,3986.9161433677073,12.0,640.0,20.0,80.99906773788662,20.0,78.21956249566975,0.001111429792214904
11,2.7947369409480263e-07,3986.8668871364894,12.0,640.0,20.0,80.99956800044096,20.0,78.21912981528872,0.0011114296798713332
12,2.7947391195248654e-07,3986.864304190492,12.0,640.0,20.0,80.99959423395332,20.0,78.22237525885117,0.0011114298243963202
13,2.794787799842055e-07,3986.7946899378403,12.0,640.0,20.0,81.00030127579207,20.0,78.22237012402367,0.0011114297281914944
14,2.794788135624476e-07,3986.794204351786,12.0,640.0,20.0,81.00030620774419,20.0,78.2189332573816,0.001111429726014255
15,2.7947894813530145e-07,3986.792114065639,12.0,640.0,20.0,81.0003274381649,20.0,78.22272311938143,0.0011114296769918265
16,2.794825953544199e-07,3986.740463605772,12.0,640.0,20.0,81.00085204200988,20.0,78.22038240048114,0.0011114297458194803
17,2.794842903536919e-07,3986.716094448644,12.0,640.0,20.0,81.00109955841494,20.0,78.21783528884554,0.0011114296755950846
18,2.7948846626964576e-07,3986.6569580251075,12.0,640.0,20.0,81.00170021377986,20.0,78.22115665259899,0.0011114297540789524
19,2.797677489959129e-07,9.999999999973125,12.0,640.0,1.0,80.86650217943493,1.0,78.1812444379346,7.51861910430159e-18
20,2.797827750164463e-07,9.999999999979954,12.0,640.0,1.0,80.86650218099892,5.012212296196461,78.18862263780895,5.608577808510156e-18
21,4.721362775964773e-07,10.000000000001268,12.0,640.0,1.1634651193398253,94.08178402325322,1.9021687851659084,78.20246287585286,5.988193091679591e-19
22,5.178398384923456e-07,10.00000000000367,12.0,640.0,1.1917133862304679,96.36523152990304,3.540442704580842,78.19210895193876,1.900447988001705e-18
23,5.458575465370068e-07,9.999999999999584,12.0,640.0,1.2081713794366085,97.69556869281156,1.6111164864494951,78.2021215157453,2.268952419542451e-19
24,5.543566741096262e-07,10.000000000050559,12.0,640.0,1.2130478831179325,98.08974114031334,3.1404027803274537,78.19399973596188,2.802753524112976e-17
