,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,4.6509195799841105e-08,16953.1131807668,20.0,640.0,20.0,50.71253783310206,7.453629743295388,156.32623084328063
1,4.6509235533793164e-08,16952.952463240876,20.0,640.0,20.0,50.71277820827346,14.13199126881256,185.88422072907736
2,4.65092513068992e-08,16952.583959427706,20.0,640.0,20.0,50.713329369323716,11.118856075403695,114.81004174492902
3,4.6509251765984454e-08,16952.856507119992,20.0,640.0,20.0,50.71292172548313,13.316059374235135,164.88194020019125
4,4.6509262995343646e-08,16954.334947804407,20.0,640.0,20.0,50.710710624177636,15.50854707418761,137.19959218656274
5,4.650926716054473e-08,16951.425851152148,20.0,640.0,20.0,50.71506163710589,18.408236274826486,264.66723922991014
6,4.650926759193496e-08,16949.128622573062,20.0,640.0,20.0,50.7184982963011,17.490130982356153,35.73263253604391
7,4.650927032043707e-08,16949.59327765279,20.0,640.0,20.0,50.717803114877945,15.91208756420892,153.39835437226364
8,4.6509272812305944e-08,16951.531753540377,20.0,640.0,20.0,50.71490322373607,17.79190441836758,113.54243200493126
9,4.6509277690546795e-08,16949.739438663615,20.0,640.0,20.0,50.71758444585302,15.359868640276805,143.69216856891373
10,4.6509281716138064e-08,16950.081351585686,20.0,640.0,20.0,50.71707292673858,18.662337422469047,192.78481824359002
11,4.6509329268187796e-08,16948.168928066996,20.0,640.0,19.99664700309659,50.71143126591781,11.31598291007674,226.99685762788724
12,4.6509341554141656e-08,16951.01065120878,20.0,640.0,19.99657537774585,50.70699887447577,13.137487613522426,264.93649327587184
13,4.6658816022715904e-08,4010.6962694160084,20.0,640.0,9.728139866212063,50.7142482838899,5.899967084063474,179.09094799946286
14,4.6667765961158566e-08,3243.271280471382,20.0,640.0,8.747270223613356,50.70969275418051,5.250189978090331,245.4813778661284
15,4.667109136247317e-08,2952.839774741462,20.0,640.0,8.343587340964614,50.69241176170722,5.093922591855179,173.81457017895332
16,4.668277327067187e-08,1918.480127124212,20.0,640.0,6.728346493020021,50.71538985189021,4.764259917998421,94.61872311661102
17,4.669089710640207e-08,179.7463634440992,20.0,640.0,2.0581118561051097,50.68144608940604,1.341040712294428,112.66501169648446
18,4.66924300707056e-08,152.34094273130233,20.0,640.0,1.8950487621494343,50.6899832606203,1.523665065433545,26.401146643077446
19,4.669395935451796e-08,817.1449094233478,20.0,640.0,4.390393336937992,50.70653855825164,2.6054789509399723,214.5576345342428
20,4.669464029679305e-08,837.1592246420926,20.0,640.0,4.444248554779401,50.7112573981141,1.7231158668381306,293.1722848409082
21,4.669534437596689e-08,686.9988849791622,20.0,640.0,4.023873946517048,50.68464752556025,2.40285604670986,213.11391556884973
22,4.669656098205972e-08,253.67154227024065,20.0,640.0,2.44389601741133,50.65903754571542,13.594343992427259,29.908751639631863
23,4.6697203891585186e-08,340.1331314007339,20.0,640.0,2.829368508875466,50.64949676543556,2.7493150950299405,53.845680248280054
24,0.11417449445200617,14792.731148622395,20.0,640.0,8.442811197759255,22.917962833621736,8.129495814612225,22.43759970222625
