,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,6.621991422155631e-07,2035.7360507789065,10.0,640.0,19.44758324628687,100.6133253033189,19.99977895040491,95.25521922207707,0.0013414406751809341
1,6.640997145594959e-07,2146.3448558677146,10.0,640.0,20.0,100.76983721828324,20.0,95.26687283526948,0.0014187460089823967
2,6.641519035105558e-07,2146.1766356707717,10.0,640.0,20.0,100.77378467004752,20.0,95.26181198048242,0.001418745778815518
3,6.641630756657761e-07,2146.140889771038,10.0,640.0,20.0,100.77462354236621,20.0,95.25652288193452,0.00141874590340576
4,6.641637382965595e-07,2146.138471039293,10.0,640.0,20.0,100.7746803050691,20.0,95.26488955720286,0.0014187457124445538
5,6.641644932699304e-07,2146.1362350305867,10.0,640.0,20.0,100.77473277973128,20.0,95.26701761227682,0.0014187458400946266
6,6.641690785835128e-07,2146.1213218750327,10.0,640.0,20.0,100.77508276379255,20.0,95.26302833795636,0.0014187457300923359
7,6.641771771661333e-07,2146.095343678261,10.0,640.0,20.0,100.77569243253352,20.0,95.25921646475452,0.0014187457755219486
8,6.64184358810813e-07,2146.0722126302385,10.0,640.0,20.0,100.77623529233458,20.0,95.26196224509422,0.0014187457529194097
9,6.641855663159643e-07,2146.068480289388,10.0,640.0,20.0,100.77632288702134,20.0,95.26062781425765,0.0014187458532706884
10,6.641967152020935e-07,2146.032542859667,10.0,640.0,20.0,100.77716631785964,20.0,95.25152486941492,0.0014187457985321659
11,6.642005009694024e-07,2146.0202630480167,10.0,640.0,20.0,100.77745452283857,20.0,95.260881963802,0.0014187457287972872
12,6.642011105334557e-07,2146.0183230586554,10.0,640.0,20.0,100.77750005426853,20.0,95.26119987023728,0.0014187457422953685
13,6.642034377507885e-07,2146.010665128113,10.0,640.0,20.0,100.7776797860183,20.0,95.2574943863226,0.001418745626850441
14,6.642039934519249e-07,2146.008816859099,10.0,640.0,20.0,100.77772316506461,20.0,95.26015693907772,0.001418745586206335
15,6.642058952676441e-07,2146.002854914838,10.0,640.0,20.0,100.77786309284302,20.0,95.2597562506412,0.0014187456885429537
16,6.642410700581004e-07,2145.889936957506,10.0,640.0,20.0,100.78051340519342,20.0,95.2571785053706,0.0014187458172509823
17,7.891363376113709e-07,9.999999999999915,10.0,640.0,1.4506863173634348,107.0806051030478,1.6690975793512706,95.17492964543912,6.728581106569075e-20
18,1.0191653120049821e-06,10.000000000001023,10.0,640.0,1.557331715660382,114.9473598842342,2.0167548422949984,95.2253197404358,1.0427911329366951e-18
19,1.0353967539103728e-06,9.999999999999512,10.0,640.0,1.5639828294398919,115.43792416823514,2.042152667010532,95.18316470306168,5.057893789579149e-19
20,1.1317320903157244e-06,9.999999999996664,10.0,640.0,1.601816326083212,118.22825515402049,3.6547806762211703,95.21799345971826,3.7754561532440266e-18
21,1.2156849028404891e-06,10.000000000000009,10.0,640.0,1.6328307192444051,120.51546729539525,5.387524143855798,95.2071755076068,1.079745095858166e-20
22,1.2234164356512042e-06,9.999999999999806,10.0,640.0,1.635614836653163,120.72077831048372,5.096615350454544,95.19387459386466,2.3688143266650255e-19
23,1.2308047322681958e-06,9.999999999998536,10.0,640.0,1.6382561897137267,120.91556000614924,4.455794289090261,95.2477797970607,1.801551085003782e-18
24,1.3180922100437235e-06,10.000000000000853,10.0,640.0,1.668605392578527,123.15350919655091,2.515708330065688,95.19988756386796,1.1238730138902527e-18
